waypoint,x_local_m,y_local_m,heading_rad,heading_deg,cumulative_distance_m
0,0.125,0.125,3.141592653589793,180.0,0.0
1,-0.125,0.125,-2.356194490192345,-135.0,0.25
2,-0.375,-0.125,3.141592653589793,180.0,0.6035533905932737
3,-0.625,-0.125,3.141592653589793,180.0,0.8535533905932737
4,-0.875,-0.125,3.141592653589793,180.0,1.1035533905932737
5,-1.125,-0.125,3.141592653589793,180.0,1.3535533905932737
6,-1.375,-0.125,3.141592653589793,180.0,1.6035533905932737
7,-1.625,-0.125,2.356194490192345,135.0,1.8535533905932737
8,-1.875,0.125,3.141592653589793,180.0,2.2071067811865475
9,-2.125,0.125,3.141592653589793,180.0,2.4571067811865475
10,-2.375,0.125,3.141592653589793,180.0,2.7071067811865475
11,-2.625,0.125,3.141592653589793,180.0,2.9571067811865475
12,-2.875,0.125,3.141592653589793,180.0,3.2071067811865475
13,-3.125,0.125,3.141592653589793,180.0,3.4571067811865475
14,-3.375,0.125,3.141592653589793,180.0,3.7071067811865475
15,-3.625,0.125,3.141592653589793,180.0,3.9571067811865475
16,-3.875,0.125,3.141592653589793,180.0,4.207106781186548
17,-4.125,0.125,3.141592653589793,180.0,4.457106781186548
18,-4.375,0.125,3.141592653589793,180.0,4.707106781186548
19,-4.625,0.125,3.141592653589793,180.0,4.957106781186548
20,-4.875,0.125,3.141592653589793,180.0,5.207106781186548
21,-5.125,0.125,3.141592653589793,180.0,5.457106781186548
22,-5.375,0.125,3.141592653589793,180.0,5.707106781186548
23,-5.625,0.125,3.141592653589793,180.0,5.957106781186548
24,-5.875,0.125,3.141592653589793,180.0,6.207106781186548
25,-6.125,0.125,3.141592653589793,180.0,6.457106781186548
26,-6.375,0.125,3.141592653589793,180.0,6.707106781186548
27,-6.625,0.125,3.141592653589793,180.0,6.957106781186548
28,-6.875,0.125,3.141592653589793,180.0,7.207106781186548
29,-7.125,0.125,3.141592653589793,180.0,7.457106781186548
30,-7.375,0.125,-2.356194490192345,-135.0,7.707106781186548
31,-7.625,-0.125,-2.356194490192345,-135.0,8.060660171779821
32,-7.875,-0.375,3.141592653589793,180.0,8.414213562373094
33,-8.125,-0.375,-2.356194490192345,-135.0,8.664213562373094
34,-8.375,-0.625,-2.356194490192345,-135.0,9.017766952966367
